FIPS,Name,3/30/2020,3/31/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/18/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020
03384,Atglen Borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
03656,Avondale Borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,1,0,1,0,1,1,1,0,1,3,3,2,2,0,6,2,2,5,2,0,0,3,2,0,0,0,1,2,1,2,0,0,-1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
06544,Birmingham Township,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,2,2,0,1,0,0,4,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,2,0,0,0
10824,Caln Township,1,0,2,1,1,0,2,0,1,0,0,2,3,0,1,3,1,1,1,1,2,2,7,5,1,3,4,3,1,0,7,-1,1,0,-6,13,1,4,2,7,2,2,0,6,0,0,1,2,0,0,1,1,9,6,5,1,3,3,5,8,2,0,0,1,0,0,1,1,0,0,0,2,1,3,-1,0,0,0,0,1,0,1,0,2,0,1,1,0,0,1,2,0,0,3,5,0,1,0,4,4,1,1,0,0,1,2,0,1,0,0,4,0,1,1
12744,Charlestown Township,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,2,1,0,0,0,0,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
14712,City of Coatesville,0,0,0,0,0,0,0,0,1,1,3,1,3,0,1,6,1,0,0,4,2,0,13,1,2,5,3,1,2,4,1,2,0,0,2,0,0,2,2,-1,3,0,1,2,1,2,1,2,1,-1,2,1,4,1,0,1,2,0,1,2,1,2,1,1,0,0,4,1,0,0,2,1,1,2,0,1,3,2,0,3,3,2,0,5,1,4,1,1,3,11,1,1,1,6,4,3,2,1,1,7,9,-2,1,1,1,1,0,2,2,0,1,5,0,2
19752,Downingtown Borough,0,1,1,0,0,0,0,1,0,0,3,0,0,1,0,1,2,3,0,2,1,0,10,0,1,2,3,2,0,4,1,0,0,2,0,0,1,1,1,2,2,1,-1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,2,1,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0,2,2,0,2,1,0,0,0,0,0,1,3,0,2,1,0,-1,1,0,0
20824,East Bradford Township,0,0,1,0,0,2,1,3,3,0,0,0,0,2,5,2,7,0,2,14,7,1,13,0,8,3,3,0,0,1,1,0,1,0,8,0,0,13,1,7,0,1,0,0,0,3,3,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,2,3,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,2,1,3,2,1,2,3,1,0,0,4,2,0,0,1,3,2,4,0,1,0,0,1,0,0,1
20864,East Brandywine Township,1,1,1,0,0,0,1,1,0,0,2,0,0,0,2,4,1,1,0,6,0,0,4,0,-1,2,1,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,2,4,1,0,0,1,0,3,0,-1,-7,11,-10,0,11,0,0,-1,0,0,0
20920,East Caln Township,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,2,0,2,1,0,1,1,0,2,3,1,0,2,2,4,0,3,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3,-1,0,0
21008,East Coventry Township,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,2,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21104,East Fallowfield Township,0,0,0,0,2,0,0,0,0,1,0,1,0,0,2,1,-1,1,1,0,2,-1,5,1,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,-1,0,0,0,1,2,2,0,0,0,1,0,0,3,1,1,1,0,0,2,1,0,1,1,0,1,0,1,2,-1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0
21192,East Goshen Township,0,0,4,-2,0,1,1,2,2,1,2,2,1,3,4,4,3,2,1,7,6,0,25,2,5,2,6,7,5,7,1,-1,2,0,2,2,5,1,-1,2,3,3,3,2,9,3,1,0,0,0,-1,1,1,0,1,0,1,2,1,0,0,1,1,0,0,0,-1,0,0,0,1,-1,2,0,0,0,1,2,0,0,1,1,0,0,5,1,0,0,1,2,1,1,2,7,4,2,0,2,7,6,0,1,1,0,3,2,0,0,0,0,0,3,1,2
21480,East Marlborough Township,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,2,0,2,0
21576,East Nantmeal Township,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21624,East Nottingham Township,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,1,0,2,0,9,0,0,1,0,2,0,0,0,-1,0,0,2,2,1,0,-2,0,0,0,2,0,0,4,1,2,0,0,0,2,0,2,1,2,1,3,1,2,2,1,3,1,1,6,-1,2,1,0,7,3,2,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,5,1,0,3,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1
21696,East Pikeland Township,0,0,1,0,0,0,0,0,0,0,1,1,0,2,1,0,0,1,3,0,0,0,4,0,1,0,0,0,-1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
22000,East Vincent Township,0,0,0,0,2,0,3,4,1,2,1,2,2,1,4,3,3,3,2,0,1,0,8,2,3,17,1,-1,2,0,1,7,6,2,0,11,1,3,0,0,1,0,0,3,5,0,0,0,5,3,3,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22056,East Whiteland Township,1,0,0,0,0,0,1,5,0,3,0,0,4,2,3,3,4,2,1,9,3,4,5,-6,16,0,1,1,0,3,2,1,-37,1,1,1,0,1,0,0,2,0,0,5,2,0,2,0,3,0,0,2,0,4,0,-1,2,-1,3,8,5,-1,1,0,0,0,0,2,0,0,0,0,1,0,3,0,5,0,0,1,2,2,1,2,6,2,1,1,4,5,2,4,0,1,3,1,1,2,1,9,3,0,0,1,2,0,0,1,1,0,6,1,1,3
21928,Easttown Township,0,1,0,4,0,0,2,0,2,2,2,3,3,3,3,3,1,0,0,1,2,1,15,0,2,0,-8,11,0,1,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,3,-1,0,0,0,1,0,1,0,2,0,0,3,3,6,2,2,1,2,3,1,0,4,5,5,3,0,1,1,1,0,0,3,0,0,0,0,3,0
23032,Elk Township,0,0,0,0,0,0,0,0,0,1,3,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
23440,Elverson Borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27376,Franklin Township,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2,2,0,0,1,3,0,0,1,2,0,4,0,0,0
34448,Highland Township,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
35528,Honey Brook Borough,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35536,Honey Brook Township,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,1,0,0,0,0,-1,0,1,0,1,0,1,0,2,1,0,0,0,0,0,0,1,1,0,1,0,1,2,2,1,1,5,0,0,1,9,4,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,4,-1,1,0,0,2,1,1,-1,0,1,0,0,0,1,0,0,0,0,3,0,0,1,1,0,1,0,0,0,2,0,0,0,1,0,0,0,1,-4,4,0,0,0,0
39352,Kennett Square Borough,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,2,1,0,0,1,3,0,1,1,1,0,3,4,6,0,8,4,10,3,2,5,3,6,1,2,5,14,13,3,1,3,4,6,5,10,5,0,3,4,6,2,0,3,3,-1,1,5,4,3,1,0,1,4,1,0,0,1,0,0,0,0,1,2,1,0,1,3,0,1,2,1,4,1,0,0,1,2,1,0,2,1,0,2,2,2,0
39344,Kennett Township,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,-1,0,2,1,2,3,1,0,3,3,0,4,0,2,1,2,1,1,0,2,1,0,3,3,0,0,3,0,0,2,0,2,2,1,0,0,0,2,1,7,2,1,-1,1,1,1,3,0,1,0,0,-1,0,0,0,1,0,1,2,0,0,1,1,0,0,0,0,0,0,3,2,2,0
44440,London Britain Township,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0
44480,London Grove Township,1,0,1,1,0,0,0,0,1,0,0,1,0,1,-1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,3,1,3,2,0,0,0,1,2,1,8,5,1,3,4,2,1,2,2,-1,2,3,0,0,0,6,2,0,0,2,2,0,0,0,2,1,0,2,1,2,0,0,1,1,1,0,0,2,1,2,1,1,1,4,0,1,1,1,4,3,0,2,2,4,0,0,0,1,0,1,2,0,0
44456,Londonderry Township,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
45040,Lower Oxford Township,0,0,0,0,0,1,1,-1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,1,2,0,1,1,0,0,2,1,1,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,2,-1,0,2,0,0,2,1,0,0,1,0,0,1,1,0,3,0,0,0,1,1,0
46792,Malvern Borough,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0
50232,Modena Borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
